state_id,init_x,init_y,init_z,init_vx,init_vy,init_vz,pred_x,pred_y,error
116,-0.5,1.84,0.36,0.71,-7.83,1.08,-0.216257,-1.28916,4.42303e-08
117,-0.533766,-1.65906,0.300699,0.846193,5.38252,2.4281,-0.0360647,1.50675,3.43671e-09
118,-0.0208523,1.3505,0.42206,0.694198,-4.90167,1.63484,0.325985,-1.09849,1.56962e-08
119,-0.22,1.22,0.29,0.75,-5.39,1.78,0.143331,-1.39114,0.0264827
120,-0.438245,0.983636,0.565582,-0.0178897,-3.24118,1.8912,-0.448623,-0.896527,5.1166e-08
121,0.632437,0.889774,0.379645,-0.747421,-3.47845,1.72054,0.257764,-0.853926,8.63767e-09
122,0.218168,1.4428,0.22944,-0.0967796,-5.28959,3.20086,0.149761,-2.29607,0.0254185
123,0.290066,1.0827,0.412965,-0.766232,-4.91909,1.47952,-0.0733138,-1.25014,1.82153e-08
124,-0.473029,1.05385,0.656939,0.036295,-2.39044,2.55548,-0.447448,-0.630976,4.90311e-08
125,-0.53,1.09,0.42,1.97,-4.8,1.23,0.338453,-1.02603,1.62271e-08
126,0.421804,1.12858,0.496791,0.205095,-3.95679,1.58401,0.528329,-0.926559,0.0193746
127,-0.361849,1.07799,0.406245,0.103692,-4.39761,1.36499,-0.314435,-0.932842,4.89102e-08
128,0.251479,0.909245,0.482895,0.564125,-5.07067,1.28584,0.515631,-1.4651,4.02032e-08
129,0.32,1.38,0.52,-0.23,-6.05,1.4,0.205616,-1.62879,0.0293462
130,-0.583634,1.08997,0.767579,0.803138,-2.2922,2.14855,-0.0474441,-0.440348,5.78875e-08
131,-0.8,1.33,0.98,0.58,-5.07,1.24,-0.460798,-1.6351,2.52756e-08
132,-0.282687,1.37654,0.393533,0.162134,-4.81331,1.81487,-0.198495,-1.12287,4.58457e-08
133,-0.175693,1.22044,0.377275,2.58017,-5.54607,1.59996,1.07228,-1.46207,0.0296727
134,-0.294556,0.647893,0.581171,1.12628,-2.81743,0.665375,0.177517,-0.533023,6.15554e-08
135,0.221329,1.13847,0.477475,-0.864618,-5.2688,1.47844,-0.205203,-1.46072,4.19062e-08
136,0.416392,-1.81214,0.303132,-1.6242,9.09083,0.839472,-0.14624,1.33698,3.39785e-08
137,0.49,0.93,0.48,0.06,-4.39,0.86,0.514729,-0.87937,5.74363e-08
138,-0.0617013,1.20187,0.401781,-0.271028,-5.05512,2.43478,-0.229154,-1.9214,1.69708e-08
139,-0.131343,0.776888,0.516262,1.2358,-3.67342,0.425218,0.327407,-0.586744,5.8019e-08
140,-0.69,1.75,0.47,2.03,-5.54,2.23,0.539678,-1.60587,0.0284221
141,0.457189,1.89305,0.547655,-0.211393,-5.58458,1.9749,0.333714,-1.36893,5.81709e-08
142,-0.22,1.57,0.41,1.57,-5.87,1.78,0.597252,-1.48558,0.0294095
143,0.280952,1.19312,0.393094,-0.295354,-5.02377,2.14857,0.112751,-1.66787,3.5529e-09
144,0.251557,1.35629,0.270877,-0.313023,-5.31781,2.47755,0.0673874,-1.77248,9.35704e-09
145,-0.449035,2.023,0.205002,1.40331,-6.12051,3.56656,0.615648,-2.62059,2.72776e-08
146,-0.33,1.3,0.3,1.38,-5.45,1.95,0.374431,-1.48199,2.67539e-08
147,0.157373,1.82569,0.343987,1.12977,-6.90024,2.90542,0.92251,-2.84752,7.63439e-08
148,-0.515103,0.733145,0.31395,-0.471832,-3.94979,1.63764,-0.735677,-1.11331,1.38335e-08
149,-0.0109262,1.31943,0.372996,0.209393,-4.52966,2.56568,0.122498,-1.56685,0.0219783
150,-0.62,1.39,0.35,2.17,-7.07,1.84,0.47869,-2.1896,3.08558e-08
151,-0.653979,1.49163,0.380155,0.762576,-6.59891,1.87954,-0.255386,-1.95758,4.58932e-08
152,-0.36,1.27,0.38,2.32,-7.1,0.7,0.468656,-1.26597,3.58319e-08
153,0.64,1.52,0.38,-0.46,-4.87,2.27,0.368566,-1.35366,0.0237236
154,0.316247,1.53088,0.805443,-0.603137,-4.03644,2.15196,-0.0891017,-1.18188,6.8243e-09
155,-0.36,1,0.49,2.46,-5.28,1.14,0.746927,-1.37584,4.17323e-08
156,0.0886515,1.29691,0.430531,-1.35814,-3.10873,1.52325,-0.573768,-0.219348,2.04844e-08
157,0.321041,0.940459,0.263177,-0.876299,-4.53875,1.27375,-0.0245113,-0.849314,2.13296e-08
158,-0.281194,1.3105,0.385029,1.62813,-6.47327,1.68534,0.522587,-1.88524,5.46357e-09
159,0.0662487,0.957549,0.309769,0.684921,-5.61871,0.609969,0.286142,-0.846332,2.59745e-08
160,-0.488029,-1.29001,0.314845,1.42137,4.6238,2.31935,0.330112,1.37145,1.34992e-08
161,-0.250815,1.12674,0.198487,0.830333,-6.01599,1.14753,0.0383719,-0.968503,1.16205e-08
162,0.48936,-1.79036,0.299993,-1.2388,5.91944,2.85723,-0.328449,2.11743,5.7853e-08
163,0.3,1.66,0.56,0.27,-8.67,0.19,0.396229,-1.43001,6.91311e-08
164,-0.274985,0.765853,0.545979,0.952816,-3.86143,1.84819,0.265482,-1.42447,3.97617e-08
165,-0.3,1.14,0.48,0.1,-5.3,1.65,-0.248136,-1.60881,4.13502e-08
